founders type generation contribution sex
Af_589 genetic gen2 NA female
Af_591 genetic gen1 NA female
Af_591 genealogical gen4 0.0612244897959184 female
Af_591 genetic gen4 0.0333333333333333 female
Af_591 genealogical gen1 NA female
Af_591 genealogical gen3 0.0612244897959184 female
Af_591 genealogical gen2 0.0612244897959184 female
Af_591 genetic gen2 NA female
Af_591 genetic gen3 0.0173410404624277 female
Af_619-668 genetic gen3 0.00578034682080925 female
Af_619-668 genealogical gen4 0.0204081632653061 female
Af_619-668 genealogical gen2 0.0204081632653061 female
Af_619-668 genetic gen1 NA female
Af_619-668 genealogical gen1 NA female
Af_619-668 genealogical gen3 0.0204081632653061 female
Af_619-668 genetic gen2 NA female
Af_619-668 genetic gen4 0.0111111111111111 female
Af_629 genetic gen1 NA female
Af_629 genealogical gen2 0.0408163265306122 female
Af_629 genetic gen4 0.0305555555555556 female
Af_629 genealogical gen3 0.05815736699304 female
Af_629 genetic gen2 NA female
Af_629 genetic gen3 0.0158959537572254 female
Af_629 genealogical gen4 0.0914907003263733 female
Af_629 genealogical gen1 NA female
Af_631 genealogical gen1 NA female
Af_631 genetic gen1 NA female
Af_631 genealogical gen3 0 female
Af_631 genetic gen2 NA female
Af_631 genealogical gen2 NA female
Af_631 genetic gen3 NA female
Af_631 genealogical gen4 0 female
Af_631 genetic gen4 0.00555555555555556 female
Af_644 genetic gen1 NA male
Af_644 genetic gen2 NA male
Af_644 genetic gen3 NA male
Af_644 genealogical gen1 NA male
Af_644 genealogical gen2 NA male
Af_644 genealogical gen4 0 male
Af_644 genetic gen4 0.0166666666666667 male
Af_644 genealogical gen3 0 male
Af_658 genetic gen2 NA female
Af_658 genealogical gen1 NA female
Af_658 genetic gen3 NA female
Af_658 genealogical gen3 0 female
Af_658 genealogical gen4 0 female
Af_658 genetic gen4 0.0111111111111111 female
Af_658 genealogical gen2 NA female
Af_658 genetic gen1 NA female
Af_663 genetic gen1 NA male
Af_663 genealogical gen4 0.159056532054055 male
Af_663 genetic gen2 NA male
Af_663 genealogical gen2 0.0408163265306122 male
Af_663 genealogical gen1 NA male
Af_663 genealogical gen3 0.081278754276277 male
Af_663 genetic gen3 0.0216763005780347 male
Af_663 genetic gen4 0.0416666666666667 male
Af_682 genealogical gen1 0 female
Af_682 genetic gen4 0.0166666666666667 female
Af_682 genealogical gen2 0.0306122448979592 female
Af_682 genetic gen1 0 female
Af_682 genetic gen2 0.0153061224489796 female
Af_682 genealogical gen3 0.0306122448979592 female
Af_682 genetic gen3 0.00867052023121387 female
Af_682 genealogical gen4 0.0306122448979592 female
Af_76 genetic gen3 NA male
Af_76 genealogical gen1 NA male
Af_76 genetic gen4 0.00555555555555556 male
Af_76 genealogical gen3 0 male
Af_76 genealogical gen4 0 male
Af_76 genetic gen1 NA male
Af_76 genealogical gen2 NA male
Af_76 genetic gen2 NA male
Af_89 genealogical gen1 NA male
Af_89 genetic gen4 0.0222222222222222 male
Af_89 genetic gen1 NA male
Af_89 genetic gen2 NA male
Af_89 genealogical gen3 0 male
Af_89 genealogical gen2 NA male
Af_89 genetic gen3 NA male
Af_89 genealogical gen4 0 male
F0001 genetic gen3 0.0115606936416185 female
F0001 genetic gen2 NA female
F0001 genetic gen1 NA female
F0001 genealogical gen4 0.0408163265306122 female
F0001 genealogical gen3 0.0408163265306122 female
F0001 genealogical gen2 0.0408163265306122 female
F0001 genetic gen4 0.0222222222222222 female
F0001 genealogical gen1 NA female
F0002 genetic gen1 NA female
F0002 genealogical gen2 0.0612244897959184 female
F0002 genetic gen3 0.0202312138728324 female
F0002 genetic gen4 0.0388888888888889 female
F0002 genetic gen2 NA female
F0002 genealogical gen4 0.0950074056597591 female
F0002 genealogical gen3 0.0727851834375369 female
F0002 genealogical gen1 NA female
F0003 genealogical gen1 0 female
F0003 genealogical gen2 0.0918367346938776 female
F0003 genetic gen2 0.0561224489795918 female
F0003 genetic gen4 0.0611111111111111 female
F0003 genealogical gen3 0.114958121977115 female
F0003 genetic gen1 0 female
F0003 genetic gen3 0.0317919075144509 female
F0003 genealogical gen4 0.159402566421559 female
F0004 genetic gen2 NA female
F0004 genealogical gen3 0.0204081632653061 female
