founders type generation contribution sex
M0024 genealogical gen2 0.0306122448979592 male
M0024 genealogical gen4 0.115069534557561 male
M0024 genetic gen3 0.0158959537572254 male
M0024 genetic gen2 NA male
M0024 genealogical gen1 NA male
M0025 genetic gen1 NA male
M0025 genetic gen2 NA male
M0025 genealogical gen4 0 male
M0025 genealogical gen3 0 male
M0025 genealogical gen2 NA male
M0025 genealogical gen1 NA male
M0025 genetic gen4 0.0111111111111111 male
M0025 genetic gen3 NA male
M0026 genetic gen2 NA male
M0026 genetic gen1 NA male
M0026 genealogical gen3 0 male
M0026 genealogical gen2 NA male
M0026 genealogical gen4 0 male
M0026 genetic gen3 NA male
M0026 genealogical gen1 NA male
M0026 genetic gen4 0.0111111111111111 male
M0027 genetic gen1 NA male
M0027 genealogical gen2 NA male
M0027 genetic gen4 0.0111111111111111 male
M0027 genetic gen3 NA male
M0027 genetic gen2 NA male
M0027 genealogical gen1 NA male
M0027 genealogical gen4 0 male
M0027 genealogical gen3 0 male
XF0001 genetic gen1 NA female
XF0001 genetic gen2 NA female
XF0001 genealogical gen2 NA female
XF0001 genetic gen4 0.00555555555555556 female
XF0001 genealogical gen3 0 female
XF0001 genealogical gen1 NA female
XF0001 genetic gen3 NA female
XF0001 genealogical gen4 0 female
XF0002 genetic gen4 0.00555555555555556 female
XF0002 genetic gen2 NA female
XF0002 genetic gen1 NA female
XF0002 genetic gen3 NA female
XF0002 genealogical gen3 0 female
XF0002 genealogical gen2 NA female
XF0002 genealogical gen4 0 female
XF0002 genealogical gen1 NA female
XF0003 genealogical gen2 0.0102040816326531 female
XF0003 genetic gen1 NA female
XF0003 genealogical gen3 0.0102040816326531 female
XF0003 genetic gen2 NA female
XF0003 genealogical gen4 0.0102040816326531 female
XF0003 genetic gen4 0.00555555555555556 female
XF0003 genetic gen3 0.00289017341040462 female
XF0003 genealogical gen1 NA female
XF0004 genetic gen1 NA female
XF0004 genealogical gen4 0.0102040816326531 female
XF0004 genealogical gen3 0.0102040816326531 female
XF0004 genealogical gen2 0.0102040816326531 female
XF0004 genetic gen3 0.00289017341040462 female
XF0004 genetic gen2 NA female
XF0004 genealogical gen1 NA female
XF0004 genetic gen4 0.00555555555555556 female
XF0005 genealogical gen1 NA female
XF0005 genetic gen3 NA female
XF0005 genetic gen2 NA female
XF0005 genetic gen4 0.00555555555555556 female
XF0005 genealogical gen4 0 female
XF0005 genealogical gen3 0 female
XF0005 genetic gen1 NA female
XF0005 genealogical gen2 NA female
XF0006 genetic gen3 0.0101156069364162 female
XF0006 genetic gen1 NA female
XF0006 genealogical gen1 NA female
XF0006 genetic gen2 NA female
XF0006 genealogical gen4 0.0946613712922549 female
XF0006 genealogical gen3 0.0391058157366993 female
XF0006 genetic gen4 0.0194444444444444 female
XF0006 genealogical gen2 0.0102040816326531 female
XF0007 genetic gen3 0.00289017341040462 female
XF0007 genealogical gen1 NA female
XF0007 genetic gen2 NA female
XF0007 genealogical gen4 0.0102040816326531 female
XF0007 genetic gen1 NA female
XF0007 genealogical gen3 0.0102040816326531 female
XF0007 genetic gen4 0.00555555555555556 female
XF0007 genealogical gen2 0.0102040816326531 female
XF0008 genetic gen3 0.00289017341040462 female
XF0008 genealogical gen1 NA female
XF0008 genetic gen2 NA female
XF0008 genetic gen1 NA female
XF0008 genealogical gen3 0.0102040816326531 female
XF0008 genetic gen4 0.00555555555555556 female
XF0008 genealogical gen4 0.0102040816326531 female
XF0008 genealogical gen2 0.0102040816326531 female
XF0009 genealogical gen1 NA female
XF0009 genetic gen4 0.00555555555555556 female
XF0009 genetic gen1 NA female
XF0009 genealogical gen2 NA female
XF0009 genetic gen3 NA female
XF0009 genetic gen2 NA female
XF0009 genealogical gen4 0 female
XF0009 genealogical gen3 0 female
XF0010 genealogical gen1 NA female
XF0010 genetic gen4 0.00555555555555556 female
XF0010 genealogical gen3 0.0102040816326531 female
XF0010 genealogical gen2 0.0102040816326531 female
XF0010 genetic gen3 0.00289017341040462 female
XF0010 genetic gen2 NA female
XF0010 genetic gen1 NA female
XF0010 genealogical gen4 0.0102040816326531 female
XF0011 genetic gen4 0.00833333333333333 female
XF0011 genealogical gen2 0.0102040816326531 female
XF0011 genealogical gen1 NA female
XF0011 genetic gen1 NA female
XF0011 genealogical gen3 0.0159844284534623 female
XF0011 genetic gen2 NA female
XF0011 genealogical gen4 0.0270955395645734 female
XF0011 genetic gen3 0.00433526011560694 female
XF0012 genetic gen4 0.00555555555555556 female
XF0012 genealogical gen3 0.0102040816326531 female
XF0012 genealogical gen2 0.0102040816326531 female
XF0012 genetic gen1 NA female
XF0012 genetic gen3 0.00289017341040462 female
XF0012 genealogical gen4 0.0102040816326531 female
XF0012 genealogical gen1 NA female
XF0012 genetic gen2 NA female
XF0013 genealogical gen3 0.0102040816326531 female
XF0013 genealogical gen2 0.0102040816326531 female
XF0013 genealogical gen4 0.0102040816326531 female
XF0013 genetic gen4 0.00555555555555556 female
XF0013 genealogical gen1 0 female
XF0013 genetic gen1 0 female
XF0013 genetic gen2 0.00510204081632653 female
XF0013 genetic gen3 0.00289017341040462 female
XF0014 genealogical gen1 NA female
XF0014 genetic gen4 0.00555555555555556 female
XF0014 genealogical gen2 NA female
XF0014 genetic gen1 NA female
XF0014 genetic gen2 NA female
XF0014 genealogical gen3 0 female
XF0014 genetic gen3 NA female
XF0014 genealogical gen4 0 female
XF0015 genealogical gen1 NA female
XF0015 genealogical gen2 NA female
XF0015 genetic gen2 NA female
XF0015 genetic gen4 0.00555555555555556 female
XF0015 genealogical gen3 0 female
XF0015 genetic gen1 NA female
XF0015 genetic gen3 NA female
XF0015 genealogical gen4 0 female
XF0016 genealogical gen2 0.0102040816326531 female
XF0016 genetic gen4 0.00833333333333333 female
XF0016 genealogical gen4 0.0270955395645734 female
XF0016 genealogical gen3 0.0159844284534623 female
XF0016 genealogical gen1 NA female
XF0016 genetic gen2 NA female
XF0016 genetic gen1 NA female
XF0016 genetic gen3 0.00433526011560694 female
XF0017 genealogical gen2 NA female
XF0017 genealogical gen3 0 female
XF0017 genealogical gen1 NA female
XF0017 genealogical gen4 0 female
XF0017 genetic gen3 NA female
XF0017 genetic gen2 NA female
XF0017 genetic gen4 0.00555555555555556 female
XF0017 genetic gen1 NA female
XF0018 genetic gen4 0.00555555555555556 female
XF0018 genealogical gen4 0.0102040816326531 female
XF0018 genealogical gen2 0.0102040816326531 female
XF0018 genetic gen2 NA female
XF0018 genealogical gen3 0.0102040816326531 female
XF0018 genetic gen1 NA female
XF0018 genetic gen3 0.00289017341040462 female
XF0018 genealogical gen1 NA female
XF0019 genealogical gen2 0.0102040816326531 female
XF0019 genealogical gen4 0.0102040816326531 female
XF0019 genealogical gen3 0.0102040816326531 female
XF0019 genealogical gen1 NA female
XF0019 genetic gen4 0.00555555555555556 female
XF0019 genetic gen1 NA female
XF0019 genetic gen2 NA female
XF0019 genetic gen3 0.00289017341040462 female
XF0020 genealogical gen4 0.0102040816326531 female
XF0020 genetic gen2 NA female
XF0020 genetic gen4 0.00555555555555556 female
XF0020 genealogical gen3 0.0102040816326531 female
XF0020 genealogical gen2 0.0102040816326531 female
XF0020 genealogical gen1 NA female
XF0020 genetic gen1 NA female
XF0020 genetic gen3 0.00289017341040462 female
XF0021 genealogical gen2 NA female
XF0021 genealogical gen3 0 female
XF0021 genealogical gen4 0 female
XF0021 genetic gen4 0.00555555555555556 female
XF0021 genealogical gen1 NA female
XF0021 genetic gen1 NA female
XF0021 genetic gen3 NA female
XF0021 genetic gen2 NA female
XF0022 genealogical gen4 0.0102040816326531 female
XF0022 genealogical gen1 0 female
XF0022 genealogical gen3 0.0102040816326531 female
XF0022 genealogical gen2 0.0102040816326531 female
XF0022 genetic gen1 0 female
XF0022 genetic gen4 0.00555555555555556 female
XF0022 genetic gen2 0.00510204081632653 female
XF0022 genetic gen3 0.00289017341040462 female
XF0023 genetic gen2 NA female
XF0023 genealogical gen2 0.0102040816326531 female
XF0023 genealogical gen4 0.0608784554284141 female
XF0023 genetic gen4 0.0138888888888889 female
XF0023 genealogical gen3 0.0275451220950808 female
XF0023 genetic gen3 0.00722543352601156 female
XF0023 genetic gen1 NA female
XF0023 genealogical gen1 NA female
XM0001 genetic gen2 NA male
XM0001 genealogical gen2 0.0102040816326531 male
XM0001 genetic gen1 NA male
XM0001 genetic gen3 0.00578034682080925 male
XM0001 genealogical gen3 0.0217647752742716 male
XM0001 genealogical gen1 NA male
XM0001 genealogical gen4 0.0439869974964938 male
XM0001 genetic gen4 0.0111111111111111 male
XM0002 genealogical gen3 0 male
XM0002 genealogical gen2 NA male
XM0002 genealogical gen4 0 male
XM0002 genetic gen4 0.00555555555555556 male
XM0002 genealogical gen1 NA male
XM0002 genetic gen1 NA male
XM0002 genetic gen2 NA male
XM0002 genetic gen3 NA male
XM0003 genetic gen2 NA male
XM0003 genetic gen3 0.00289017341040462 male
XM0003 genetic gen1 NA male
XM0003 genealogical gen1 NA male
XM0003 genealogical gen4 0.0102040816326531 male
XM0003 genealogical gen3 0.0102040816326531 male
XM0003 genealogical gen2 0.0102040816326531 male
XM0003 genetic gen4 0.00555555555555556 male
XM0004 genealogical gen4 0 male
XM0004 genealogical gen1 NA male
XM0004 genealogical gen3 0 male
XM0004 genealogical gen2 NA male
XM0004 genetic gen1 NA male
XM0004 genetic gen4 0.00555555555555556 male
XM0004 genetic gen2 NA male
XM0004 genetic gen3 NA male
XM0005 genetic gen1 NA male
XM0005 genealogical gen2 NA male
XM0005 genealogical gen4 0 male
XM0005 genetic gen2 NA male
XM0005 genealogical gen1 NA male
XM0005 genealogical gen3 0 male
XM0005 genetic gen3 NA male
XM0005 genetic gen4 0.00555555555555556 male
XM0006 genetic gen1 NA male
XM0006 genealogical gen2 NA male
XM0006 genetic gen2 NA male
XM0006 genealogical gen3 0 male
XM0006 genealogical gen4 0 male
XM0006 genetic gen3 NA male
XM0006 genealogical gen1 NA male
XM0006 genetic gen4 0.00555555555555556 male
XM0007 genetic gen1 0 male
XM0007 genealogical gen2 0.0102040816326531 male
XM0007 genealogical gen4 0.0102040816326531 male
XM0007 genetic gen2 0.00510204081632653 male
XM0007 genealogical gen1 0 male
XM0007 genealogical gen3 0.0102040816326531 male
XM0007 genetic gen3 0.00289017341040462 male
XM0007 genetic gen4 0.00555555555555556 male
XM0008 genetic gen2 NA male
XM0008 genetic gen1 NA male
XM0008 genetic gen3 0.00433526011560694 male
XM0008 genetic gen4 0.00833333333333333 male
XM0008 genealogical gen3 0.0159844284534623 male
XM0008 genealogical gen4 0.0270955395645734 male
XM0008 genealogical gen1 NA male
XM0008 genealogical gen2 0.0102040816326531 male
XM0009 genetic gen2 NA male
XM0009 genealogical gen4 0.0102040816326531 male
XM0009 genetic gen3 0.00289017341040462 male
XM0009 genetic gen1 NA male
XM0009 genealogical gen3 0.0102040816326531 male
XM0009 genealogical gen1 NA male
XM0009 genetic gen4 0.00555555555555556 male
XM0009 genealogical gen2 0.0102040816326531 male
XM0010 genetic gen1 0 male
XM0010 genealogical gen2 0.0102040816326531 male
XM0010 genetic gen2 0.0357142857142857 male
XM0010 genealogical gen3 0.0737878966615548 male
XM0010 genealogical gen4 0.196010118883777 male
XM0010 genetic gen3 0.0202312138728324 male
XM0010 genealogical gen1 0 male
XM0010 genetic gen4 0.0388888888888889 male
XM0011 genetic gen3 0.00289017341040462 male
XM0011 genetic gen1 NA male
XM0011 genealogical gen1 NA male
XM0011 genetic gen2 NA male
XM0011 genetic gen4 0.00555555555555556 male
XM0011 genealogical gen4 0.0102040816326531 male
XM0011 genealogical gen3 0.0102040816326531 male
XM0011 genealogical gen2 0.0102040816326531 male
XM0012 genetic gen2 NA male
XM0012 genealogical gen1 NA male
XM0012 genetic gen3 0.00433526011560694 male
XM0012 genealogical gen2 0.0102040816326531 male
XM0012 genetic gen1 NA male
XM0012 genetic gen4 0.00833333333333333 male
XM0012 genealogical gen4 0.0270955395645734 male
XM0012 genealogical gen3 0.0159844284534623 male
XM0013 genetic gen2 NA male
XM0013 genetic gen1 NA male
XM0013 genealogical gen3 0 male
XM0013 genealogical gen2 NA male
XM0013 genetic gen3 NA male
XM0013 genealogical gen4 0 male
XM0013 genealogical gen1 NA male
XM0013 genetic gen4 0.00555555555555556 male
XM0014 genetic gen3 NA male
XM0014 genealogical gen4 0 male
XM0014 genetic gen2 NA male
XM0014 genetic gen1 NA male
XM0014 genealogical gen1 NA male
XM0014 genealogical gen3 0 male
XM0014 genealogical gen2 NA male
XM0014 genetic gen4 0.00555555555555556 male
XM0015 genetic gen3 0.00289017341040462 male
XM0015 genetic gen4 0.00555555555555556 male
XM0015 genetic gen1 NA male
XM0015 genealogical gen3 0.0102040816326531 male
XM0015 genealogical gen1 NA male
XM0015 genetic gen2 NA male
XM0015 genealogical gen4 0.0102040816326531 male
XM0015 genealogical gen2 0.0102040816326531 male
