Sample	ID	Sex	Age	Trapping_month	Trapping_year	Study_year	Birth_year	Loation	Dupliated
Af_32	341903	m	juv?	Sep	2016	2016/2017	2016	Plot	0
Af_33	1316238	m	ad	July	2016	2016/2017	2015	Plot	0
Af_34	1316239	m	juv	July	2016	2016/2017	NA	Plot	0
Af_35	341870	f	NA	Oct	2016	2016/2017	NA	Plot	0
Af_36	1329042	f	NA	July	2016	2016/2017	NA	Plot	0
Af_37	341652	f	NA	Oct	2016	2016/2017	NA	Plot	0
Af_38	1315505	m	ad	July	2016	2016/2017	2015	Plot	0
Af_39	1316355	f	juv	July	2016	2016/2017	2016	Plot	0
Af_40	1316225	f	juv	July	2016	2016/2017	2016	Plot	0
Af_41	341802	f	NA	Oct	2016	2016/2017	NA	Plot	0
Af_42	342417	m	ad	Oct	2016	2016/2017	2015	Plot	1
Af_43	341776	m	ad?	Feb	2017	2017/2018	2016	Plot	0
Af_44	341878	f	NA	Sep	2016	2016/2017	NA	Plot	0
Af_45	341306	f	NA	Dec	2016	2016/2017	NA	Plot	0
Af_46	341837	m	juv	Oct	2016	2016/2017	2015	Plot	0
Af_47	341809	m	ad?	Oct	2016	2016/2017	2015	Plot	1
Af_48	341765	m	ad?	Dec	2016	2016/2017	2015	Plot	0
Af_49	1316354	f	NA	July	2016	2016/2017	NA	Plot	0
