sample	coverage_type	mean	stdev	max	n_reads	percentage
Af_281	primary	8.13	5.18	58	404773	74.1
Af_282	primary	3.49	1.27	11	373	3.7
Af_283	primary	26.96	17.49	143	2057544	82.2
Af_284	primary	6.24	3.24	25	258663	73.2
Af_285	primary	17.78	11.43	99	1312169	82.0
Af_286	primary	26.16	16.92	194	2039009	80.2
Af_287	primary	47.03	31.24	256	3926130	81.7
Af_288	primary	39.64	24.41	216	3201058	82.4
Af_289	primary	14.94	10.02	84	1106452	79.8
Af_29	primary	16.51	10.62	100	1164645	78.8
Af_290	primary	35.15	23.8	185	2830690	81.2
Af_291	primary	39.8	29.06	287	3236875	80.2
Af_292	primary	28.31	18.58	127	2197006	81.9
Af_293	primary	49.49	35.05	346	4238969	79.9
Af_294	primary	30.64	19.28	161	2433557	81.0
Af_295	primary	13.02	8.05	63	886925	80.0
Af_296	primary	5.03	2.3	22	147363	63.9
Af_297	primary	13.6	8.18	71	999454	80.7
Af_298	primary	17.18	11.68	104	1430347	77.7
Af_299	primary	22.92	14.67	112	1785211	81.1
Af_3	primary	8.15	5.11	45	444008	65.3
Af_30	primary	4.62	2.24	38	119541	49.0
Af_300	primary	19.97	12.67	96	1531892	79.2
Af_301	primary	15.53	9.9	87	1147416	79.8
Af_302	primary	22.21	14.38	105	1759345	80.1
Af_303	primary	39.4	27.23	279	3275940	79.7
Af_304	primary	3.6	1.41	13	1237	6.0
Af_305	primary	3.54	1.24	9	421	3.5
Af_306	primary	3.67	0.94	5	22	0.6
Af_307	primary	3.92	1.75	9	47	1.0
Af_308	primary	19.86	12.89	138	1511499	81.1
Af_31	primary	29.08	19.2	161	2222115	79.7
Af_310	primary	58.1	58.51	1334	5356548	73.9
Af_311	primary	32.46	21.75	158	2575162	82.8
Af_312	primary	16.04	10.25	111	1136495	78.6
Af_313	primary	18.85	12.37	99	1409802	79.9
Af_315	primary	21.47	14.21	129	1644615	80.0
Af_316	primary	24.7	16.15	129	1891527	82.1
Af_317	primary	16.24	10.1	78	1180837	79.7
Af_318	primary	12.61	7.51	60	894806	80.3
Af_32	primary	17.62	10.93	88	1255249	78.3
Af_320	primary	32.18	20.7	161	2597417	82.7
Af_321	primary	27.92	18.14	136	2217706	83.0
Af_322	primary	15	8.9	71	1122802	80.2
Af_323	primary	29.84	19.37	175	2392475	81.5
Af_324	primary	17.5	10.76	87	1324622	80.5
Af_325	primary	20.85	13.28	100	1597245	81.4
Af_326	primary	17.64	10.86	81	1294739	81.2
Af_327	primary	30.86	20.36	176	2517469	81.4
Af_329	primary	21.1	13.3	150	1645795	78.8
Af_33	primary	18.73	12.44	115	1373856	76.1
Af_331	primary	35.33	23.16	191	2899818	82.6
Af_332	primary	25.27	16.5	164	1998115	80.4
Af_333	primary	27.04	18.74	145	2138366	82.4
Af_334	primary	29.9	24.45	163	2798202	82.0
Af_335	primary	34.14	25.03	237	2769657	80.9
Af_336	primary	26.24	18.51	157	2061205	81.2
Af_337	primary	31.86	23.53	168	2587349	82.2
Af_338	primary	21.56	15.31	133	1664058	79.5
Af_34	primary	13.22	7.8	77	901137	77.7
Af_340	primary	16.41	10.87	80	1198093	78.0
Af_341	primary	25.94	18.28	131	2054183	81.4
Af_343	primary	36.37	24.18	215	3016204	80.4
Af_344	primary	23.66	15.19	141	1851109	80.1
Af_345	primary	19.35	12.21	97	1459028	82.1
Af_346	primary	30.24	19.71	144	2388979	82.2
Af_349	primary	18.67	11.96	94	1393869	81.7
Af_35	primary	17.66	12.4	146	1294506	69.6
Af_350	primary	26.81	17.58	132	2106860	81.9
Af_351	primary	29.35	19.59	149	2358067	81.6
Af_352	primary	16.25	10.32	97	1189830	80.2
Af_353	primary	21.53	13.55	108	1633888	81.8
Af_354	primary	12.55	7.48	62	882628	80.0
Af_355	primary	25.71	16.54	138	2040238	82.6
Af_356	primary	18.75	12.05	111	1426179	80.8
Af_357	primary	25.62	17.29	135	1993592	82.3
Af_358	primary	33.88	23.72	236	2684518	81.0
Af_359	primary	36.28	25.81	185	2983476	81.8
Af_36	primary	13.4	8.96	97	905269	70.2
Af_361	primary	16.73	10.84	86	1229367	77.8
Af_363	primary	31.6	22.45	181	2570366	81.3
Af_364	primary	25.44	17.23	125	1997098	82.0
Af_365	primary	23.36	15.23	115	1735823	82.7
Af_366	primary	27.9	18.65	132	2209000	82.7
Af_368	primary	37.88	26.17	263	3152154	80.4
Af_37	primary	13.29	7.9	66	885340	81.4
Af_370	primary	24.73	15.98	150	1936828	79.6
Af_371	primary	32.58	21.38	170	2614963	82.5
Af_372	primary	27.48	17.88	137	2163840	81.0
Af_374	primary	21.56	14.23	108	1649099	82.7
Af_375	primary	39.01	27.83	211	3284787	81.7
Af_376	primary	22.99	14.87	106	1768774	82.0
Af_377	primary	16.25	10.03	91	1209308	78.9
Af_378	primary	30.73	20.24	154	2455284	82.2
Af_379	primary	25.44	16.51	146	2006116	79.5
Af_38	primary	9.62	5.49	47	600901	78.6
Af_381	primary	29.38	19.24	151	2372784	79.1
Af_382	primary	20.06	13.11	98	1512400	82.3
Af_383	primary	27.08	19.99	143	2249378	80.3
Af_384	primary	33.85	25.02	211	2893748	81.0
Af_385	primary	35.47	25.54	181	3021662	82.0
Af_386	primary	22.71	16.94	123	1926143	81.5
Af_387	primary	21.78	15.45	155	1687792	79.8
Af_388	primary	31.99	25.03	201	2818818	79.5
Af_389	primary	28.47	19.96	196	2275637	80.4
Af_39	primary	19.59	12.17	122	1400399	79.1
Af_390	primary	27.39	20.84	142	2454867	81.5
Af_391	primary	18.71	11.88	92	1444217	79.6
Af_392	primary	33.04	25.37	195	2905376	81.1
Af_393	primary	5.44	2.97	31	144714	57.7
Af_394	primary	17.9	13.94	90	1300572	75.3
Af_395	primary	20.04	15.27	100	1496609	74.7
Af_396	primary	18.24	13.72	88	1360990	73.1
Af_397	primary	17.81	13.82	92	1292217	75.7
Af_398	primary	9.68	6.54	51	605275	71.4
Af_399	primary	21.45	17.01	105	1635230	72.3
Af_4	primary	12.3	7.18	71	812241	75.7
Af_40	primary	9.72	5.86	50	604479	73.7
Af_400	primary	10.97	7.72	55	726312	72.4
Af_401	primary	17.2	13.28	86	1311281	75.0
Af_402	primary	14.2	9	72	1012225	75.0
Af_403	primary	33.27	22.27	159	2661345	78.5
Af_404	primary	14.77	9.49	78	1099483	77.3
Af_405	primary	39.2	29.5	199	3240760	77.8
Af_406	primary	45.06	33.36	225	3796886	78.5
Af_407	primary	40.38	29.24	213	3320686	78.4
Af_408	primary	36.48	26.14	246	3031269	74.9
Af_409	primary	40.95	30.18	272	3427193	77.4
Af_41	primary	11.86	7.16	65	778510	78.6
Af_410	primary	44.61	33.27	251	3813246	78.0
Af_411	primary	34.61	25.04	187	2846896	76.8
Af_412	primary	32.47	22.37	163	2605957	77.7
Af_414	primary	15.52	9.58	80	1073025	74.6
Af_415	primary	32.28	21.41	157	2598684	78.1
Af_417	primary	17.43	12.27	87	1295053	76.8
Af_418	primary	24.43	17.48	119	1843091	78.5
Af_419	primary	29.93	22.19	203	2332105	77.7
Af_420	primary	21.41	14.63	106	1587588	78.8
Af_421	primary	17.87	12.45	87	1281491	78.5
Af_422	primary	26.26	19.18	174	2006511	77.3
Af_423	primary	22.24	15.84	108	1686119	72.8
Af_424	primary	20.47	14.22	97	1493451	77.9
Af_425	primary	24.71	17.7	122	1904837	78.4
Af_426	primary	14.9	9.49	70	1112267	75.4
Af_427	primary	34.03	22.26	188	2757084	77.5
Af_428	primary	24.25	15.8	112	1923830	76.1
Af_429	primary	37.73	30.37	222	3045282	78.5
Af_43	primary	15.87	9.87	73	1099764	78.4
Af_430	primary	32.87	24.28	161	2608529	79.2
Af_431	primary	42.21	32.73	238	3557874	76.3
Af_432	primary	45.23	35.06	297	3605466	78.4
Af_433	primary	19.56	13.49	95	1430527	78.7
Af_434	primary	26.53	20.48	242	2073872	76.1
Af_435	primary	22.58	16.23	113	1739262	75.6
Af_436	primary	18.98	12.8	86	1352045	78.4
Af_437	primary	22.36	15.62	111	1697918	78.9
Af_438	primary	19.3	12.34	94	1436966	76.8
Af_439	primary	21.24	13.49	98	1610246	78.6
Af_44	primary	11.69	7.1	57	754137	76.3
Af_440	primary	22.38	14.41	187	1753542	76.2
Af_441	primary	13.22	8.39	69	942711	75.3
Af_442	primary	15.32	9.7	72	1115505	75.8
Af_443	primary	13.88	8.79	105	1006364	72.1
Af_444	primary	12.83	7.88	59	909197	76.4
Af_445	primary	11.85	7.25	54	837257	75.1
Af_446	primary	16.67	10.69	89	1223105	73.7
Af_447	primary	16.86	10.68	77	1251627	74.2
Af_448	primary	11.31	6.99	73	789028	70.8
Af_449	primary	18.14	11.6	88	1353976	75.3
Af_45	primary	22.1	14.53	177	1620245	73.7
Af_450	primary	16.86	10.54	82	1248716	75.8
Af_451	primary	21.15	13.27	108	1635858	77.7
Af_452	primary	22.75	14.32	108	1799900	75.5
Af_453	primary	16.81	11.26	89	1258576	77.0
Af_454	primary	24.7	16.58	132	1934603	77.2
Af_455	primary	29.75	20.41	158	2386951	76.2
Af_456	primary	30.01	20.41	149	2368154	77.8
Af_457	primary	18.39	12.23	98	1390532	76.7
Af_458	primary	21.67	14.63	103	1687187	74.2
Af_459	primary	27.02	19.06	132	2151501	77.6
Af_46	primary	22.47	14.12	115	1667796	78.3
Af_460	primary	17.89	11.52	82	1342611	76.7
Af_461	primary	21.13	14.15	103	1628468	77.0
Af_462	primary	17.85	11.37	115	1302463	70.9
Af_463	primary	25.8	16.64	123	2054794	75.7
Af_464	primary	11.76	6.99	53	856751	76.7
Af_465	primary	14.67	9.49	71	1054881	76.7
Af_466	primary	13.71	9.07	95	975837	76.2
Af_467	primary	31.39	21.45	214	2490576	77.3
Af_468	primary	22.17	14.24	104	1677139	78.1
Af_469	primary	14.48	9.28	74	1051826	77.3
Af_470	primary	16.48	10.55	85	1217996	75.0
Af_471	primary	13.5	8.51	59	970416	74.7
Af_472	primary	21.66	14.15	100	1659593	78.0
Af_473	primary	17.61	11.22	82	1295922	78.4
Af_474	primary	20.52	13.49	100	1560530	73.9
Af_475	primary	28.7	18.78	133	2325203	77.5
Af_476	primary	22.69	14.56	103	1792184	76.1
Af_478	primary	31.62	21.39	175	2476140	76.3
Af_48	primary	25.13	16.44	128	1922332	77.2
Af_480	primary	29.09	19.09	142	2335562	77.3
Af_481	primary	27.96	18.97	137	2256103	76.0
Af_483	primary	26.4	17.95	156	2121865	74.5
Af_484	primary	24.85	16.2	122	1951759	77.4
Af_485	primary	28.43	18.79	150	2271204	77.5
Af_486	primary	25.5	17.19	127	1973957	74.1
Af_487	primary	35.07	23.02	166	2797973	76.0
Af_488	primary	22.65	14.43	119	1786155	76.3
Af_49	primary	20.46	12.51	103	1464231	81.3
Af_490	primary	24.93	15.9	125	1893360	81.9
Af_491	primary	21.48	13.36	102	1622225	82.1
Af_492	primary	19.54	11.99	88	1452620	82.0
Af_493	primary	21.45	13.52	104	1619787	79.1
Af_494	primary	20.16	13.1	166	1489263	78.3
Af_495	primary	19.72	12.39	97	1478589	82.0
Af_496	primary	22.45	14.06	109	1673818	81.0
Af_497	primary	16.09	9.99	90	1182128	79.0
Af_498	primary	19.56	12.03	92	1464577	82.0
Af_5	primary	8.82	5.16	46	536303	76.6
Af_50	primary	10.36	5.97	48	666792	76.3
Af_500	primary	32.27	20.88	154	2601650	82.0
Af_502	primary	33.34	21.22	157	2657732	81.9
Af_503	primary	30.61	19.38	144	2461477	78.7
Af_504	primary	23.92	14.57	109	1838221	81.6
Af_505	primary	18.77	11.48	94	1413993	81.0
Af_506	primary	29.72	19.33	179	2391400	79.0
Af_507	primary	26.85	17.3	226	2106490	79.5
Af_508	primary	20.36	12.31	108	1532762	80.1
Af_509	primary	21.12	12.8	96	1610091	80.7
Af_51	primary	19.11	11.39	93	1363229	79.5
Af_510	primary	12.96	7.81	88	922174	78.5
Af_511	primary	36.87	23.73	178	2992804	82.4
Af_512	primary	33.16	22.33	152	2696291	80.7
Af_513	primary	20.14	12.39	94	1511064	83.3
Af_514	primary	41.48	27.36	248	3330466	82.1
Af_516	primary	26.1	16	126	2038483	82.6
Af_517	primary	28.43	17.59	139	2208416	83.5
Af_518	primary	16.52	10.06	89	1225557	81.7
Af_519	primary	19.13	11.81	118	1420499	81.8
Af_520	primary	17.35	10.43	86	1287431	82.3
Af_522	primary	18.23	10.91	87	1357360	82.7
Af_524	primary	64.69	46.38	371	5743298	82.3
Af_525	primary	49.28	32.83	242	4148415	82.9
Af_526	primary	31.9	20.95	153	2502075	83.8
Af_528	primary	31.05	19.84	144	2406092	83.2
Af_529	primary	25.76	16.37	124	1981908	83.3
Af_53	primary	16.68	10.36	84	1172758	80.1
Af_530	primary	29.48	19.96	156	2324374	83.5
Af_531	primary	21.7	13.9	108	1637440	83.2
Af_532	primary	30.06	21.33	163	2379605	82.7
Af_533	primary	24.71	15.52	119	1905666	83.5
Af_534	primary	26.88	17.08	153	2087438	82.2
Af_535	primary	21.44	12.85	104	1636061	82.1
Af_536	primary	50.07	33.78	262	4263410	83.0
Af_537	primary	46.84	30.79	230	3929233	83.5
Af_538	primary	16.54	10.06	77	1205652	82.5
Af_54	primary	13.03	7.51	63	884315	78.9
Af_540	primary	16.23	9.69	73	1177936	82.7
Af_541	primary	22.78	14.34	129	1725368	81.6
Af_542	primary	18.97	11.91	93	1410220	81.9
Af_544	primary	18.88	11.54	91	1380921	81.9
Af_545	primary	14.82	8.8	69	1064959	82.0
Af_546	primary	11.67	6.75	57	811804	80.9
Af_548	primary	7.71	4.72	42	416361	75.5
Af_549	primary	6.05	3.23	25	278434	72.2
Af_55	primary	22.6	14.12	110	1656128	80.2
Af_553	primary	33.12	21.37	157	2621632	82.5
Af_554	primary	26.76	17.12	131	2079844	83.1
Af_555	primary	11.77	6.99	51	822277	80.7
Af_556	primary	17.33	12.73	119	1331376	79.2
Af_557	primary	19.03	11.85	106	1428380	78.6
Af_558	primary	25.38	16.73	214	1980494	78.9
Af_559	primary	12.7	7.65	60	907768	77.0
Af_56	primary	15.36	9.63	93	1069083	77.2
Af_562	primary	22.98	14.94	162	1740592	79.4
Af_563	primary	24.04	15.13	116	1828893	83.2
Af_564	primary	25.25	15.89	120	1947871	81.8
Af_565	primary	30.51	19.61	168	2380097	81.5
Af_566	primary	30	19.75	204	2386642	80.9
Af_567	primary	16.16	10.33	110	1159191	77.6
Af_568	primary	19.2	12.34	132	1459269	76.1
Af_572	primary	31.97	24.89	217	3002669	79.1
Af_573	primary	27.64	19.07	131	2227749	80.9
Af_574	primary	26.54	17.84	132	2098712	81.6
Af_575	primary	28.52	19.17	156	2228889	81.3
Af_576	primary	38.11	26.19	234	3115497	81.5
Af_577	primary	36.01	23.94	171	2926507	82.2
Af_578	primary	41.35	29.95	286	3492036	78.6
Af_58	primary	10.36	6.26	59	669422	74.3
Af_580	primary	4.31	1.78	20	73356	40.9
Af_581	primary	37.87	25.22	179	3051127	82.7
Af_582	primary	32.34	21.31	149	2601313	81.2
Af_583	primary	13.46	8.3	62	1002663	78.1
Af_584	primary	37.48	26.74	185	3260263	80.9
Af_585	primary	3.79	1.38	18	23243	30.9
Af_586	primary	8.12	4.49	43	512354	78.1
Af_587	primary	13.27	8.96	69	915734	78.8
Af_588	primary	11.83	7.62	78	813104	76.9
Af_589	primary	15.59	10.42	104	1123645	79.6
Af_59	primary	10.58	7.12	98	686557	68.0
Af_590	primary	19.78	13.39	124	1482522	78.9
Af_591	primary	15.99	10.85	102	1151193	80.0
Af_592	primary	11.06	6.95	55	747648	72.4
Af_595	primary	29.11	18.51	155	2349611	81.6
Af_596	primary	24.92	18.25	228	1952823	80.1
Af_597	primary	32.99	24.55	168	2460221	83.0
Af_599	primary	17.03	10.87	81	1294612	81.9
Af_6	primary	13.67	7.81	62	943282	80.4
Af_60	primary	17.05	10.54	93	1184364	79.5
Af_600	primary	17.38	10.85	80	1336420	81.1
Af_601	primary	16.47	10.03	77	1267305	80.8
Af_602	primary	21.93	13.78	106	1737607	82.0
Af_603	primary	16.81	10.51	78	1265030	79.8
Af_607	primary	23.09	14.52	152	1827198	80.2
Af_608	primary	33.69	24.73	216	2706698	81.5
Af_609	primary	45.72	34.34	230	3529178	82.8
Af_611	primary	14.19	9.01	117	1066235	79.9
Af_612	primary	13.43	7.93	60	1015300	81.1
Af_613	primary	12.07	7.04	55	888768	81.7
Af_614	primary	15.71	9.41	72	1199856	80.0
Af_616	primary	10.55	6.21	55	753216	80.2
Af_617	primary	10.93	6.46	60	790580	78.5
Af_618	primary	60.41	42.19	316	4840763	82.2
Af_620	primary	26.54	18.43	142	2086331	81.9
Af_621	primary	44.1	32.84	230	3558141	83.4
Af_623	primary	15.55	10.03	76	1168447	81.9
Af_624	primary	26.67	18.24	193	2127342	80.4
Af_625	primary	21.88	14.25	113	1705724	82.4
Af_626	primary	13.18	8.25	72	962887	81.1
Af_627	primary	10.27	6.15	52	690104	80.3
Af_628	primary	15.15	9.58	78	1147798	78.0
Af_629	primary	79.1	63.22	399	7133864	83.0
Af_63	primary	20.48	12.72	102	1489525	79.7
Af_630	primary	15.79	9.94	77	1197612	80.8
Af_631	primary	70.5	57.26	431	6352613	80.1
Af_632	primary	23.46	13.93	109	1855013	81.1
Af_635	primary	9.95	6.17	55	646121	77.5
Af_636	primary	11.43	7.07	55	781221	80.0
Af_637	primary	12.91	8.02	69	905058	80.6
Af_638	primary	11.23	6.77	54	767398	78.2
Af_639	primary	10.34	6.34	65	688352	78.6
Af_64	primary	17.33	10.32	85	1228232	79.7
Af_640	primary	15.02	9.56	70	1092306	78.5
Af_642	primary	40.62	29.52	210	3266755	80.7
Af_643	primary	52.54	40.64	397	4429886	77.7
Af_644	primary	25.77	16.28	127	2052819	82.0
Af_646	primary	32.81	24.07	223	2554336	82.0
Af_648	primary	13.81	8.24	70	1036573	81.1
Af_649	primary	18.63	10.99	86	1454081	82.1
Af_65	primary	14.52	8.71	74	996946	79.9
Af_650	primary	13.88	8.04	73	1061768	79.7
Af_651	primary	10.19	5.78	50	694349	79.6
Af_652	primary	10.44	6.04	53	755623	78.9
Af_653	primary	13.64	7.92	62	1032696	80.3
Af_654	primary	51.97	34.82	249	4443318	81.4
Af_655	primary	75.43	54.89	364	6735026	82.6
Af_656	primary	22.17	13.42	116	1750344	79.0
Af_657	primary	31.44	22.17	149	2512780	81.9
Af_658	primary	40.07	29.43	199	3013676	81.2
Af_659	primary	9	5.29	47	559240	79.1
Af_661	primary	14.29	8.6	63	1037674	80.5
Af_662	primary	14.37	8.68	67	1055267	82.6
Af_663	primary	11.07	6.71	60	763573	81.1
Af_664	primary	11.15	6.7	52	777444	80.5
Af_665	primary	12.45	7.71	74	893944	79.5
Af_666	primary	36.06	24.38	193	2827875	80.7
Af_667	primary	66.41	49.41	332	5726160	82.1
Af_669	primary	31.97	22.82	152	2548857	82.1
Af_67	primary	15.55	9.61	102	1082859	78.2
Af_670	primary	28.85	22.99	200	2136426	80.1
Af_671	primary	12.89	7.78	67	961631	81.1
Af_672	primary	15.39	9.23	73	1182412	80.1
Af_673	primary	18.87	11.21	83	1480028	82.0
Af_674	primary	15.06	8.8	64	1169528	79.9
Af_675	primary	11.85	7.57	57	962396	80.7
Af_676	primary	18.29	11.37	121	1464335	77.8
Af_677	primary	19.05	11.59	88	1521849	79.5
Af_678	primary	65.67	47.14	353	5848541	81.6
Af_679	primary	76.25	57.36	389	6742667	82.0
Af_68	primary	29.31	18.03	140	2191210	82.1
Af_680	primary	25.61	15.47	138	2025803	78.7
Af_681	primary	36	26.23	177	2910730	81.9
Af_682	primary	34	25.05	185	2646195	81.1
Af_69	primary	11.65	7.45	73	778881	70.2
Af_70	primary	24.98	16.13	140	1815158	78.7
Af_71	primary	23.57	15.5	176	1771806	73.8
Af_72	primary	32.94	21.86	163	2611496	79.8
Af_74	primary	13.23	7.97	65	891832	79.7
Af_75	primary	16.1	9.85	105	1110999	76.8
Af_76	primary	28.18	17.9	142	2106496	80.8
Af_77	primary	15.35	9.71	77	1067006	79.7
Af_78	primary	31.63	20.52	154	2449727	79.8
Af_8	primary	15	9.2	82	1065982	76.0
Af_80	primary	32.61	21.63	186	2499024	80.2
Af_81	primary	10.09	6.31	94	610638	71.4
Af_83	primary	26.3	16.49	135	1949830	80.0
Af_85	primary	4.27	2.83	44	68274	40.4
Af_86	primary	8.28	4.77	73	476995	74.2
Af_87	primary	20.91	13.71	117	1438645	77.5
Af_88	primary	17.31	10.18	94	1212824	78.2
Af_89	primary	9.1	5.26	47	542891	75.1
Af_9	primary	13	7.77	67	893596	77.4
Af_90	primary	23.3	14.12	109	1686845	81.5
Af_91	primary	8.2	4.57	41	446820	77.6
Af_92	primary	25.53	16.05	147	1847936	80.3
Af_93	primary	25.86	16.33	160	1949444	75.2
Af_94	primary	29.99	20.62	266	2265037	75.2
Af_95	primary	19.61	13.31	117	1408626	76.2
Af_96	primary	8.46	4.69	54	500628	74.3
Af_97	primary	12.56	9.63	172	845250	64.3
Af_99	primary	22.58	14.09	106	1703497	81.2
Af_105-180	primary	24.27	16.06	117	1925096	78.6
